CÓD CURSO;CURSO;DURAÇÃO;CLIENTE;IMPORTE CLIENTE;PROFESSOR;IMPORTE PROFESSOR;DATA DO CURSO;TURNO DO CURSO;COMERCIAL;IMPORTE COMERCIAL;PAGAMENTO CLIENTE;PAÍS;CIDADE;PAGAMENTO COMERCIAL
COD-136;DESIGN;25;CLIENTE-003; 750,00 € ;PROFESSOR-004; 300,00 € ;30/09/2021;TARDE;COMERCIAL-002; 60,00 € ;NÃO;ITÁLIA;MILÃO;SIM
COD-137;DESIGN;30;CLIENTE-004; 750,00 € ;PROFESSOR-005; 360,00 € ;02/11/2021;MANHÃ;COMERCIAL-004; 37,50 € ;NÃO;ESPANHA;VALLADOLID;SIM
COD-138;ACCESS;40;CLIENTE-003; 1.000,00 € ;PROFESSOR-002; 480,00 € ;03/06/2020;MANHÃ;COMERCIAL-001; 50,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-139;ACCESS;35;CLIENTE-006; 875,00 € ;PROFESSOR-001; 420,00 € ;22/03/2020;MANHÃ;COMERCIAL-003; 43,75 € ;SIM;FRANÇA;PARIS;SIM
COD-140;ACCESS;45;CLIENTE-004; 1.125,00 € ;PROFESSOR-004; 540,00 € ;13/04/2020;MANHÃ;COMERCIAL-002; 56,25 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-141;ACCESS;18;CLIENTE-007; 450,00 € ;PROFESSOR-003; 216,00 € ;23/09/2020;TARDE;COMERCIAL-004; 22,50 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-142;EXCEL;10;CLIENTE-005; 750,00 € ;PROFESSOR-002; 120,00 € ;28/09/2021;TARDE;COMERCIAL-003; 112,50 € ;NÃO;FRANÇA;PARIS;SIM
COD-143;EXCEL;12;CLIENTE-006; 720,00 € ;PROFESSOR-001; 144,00 € ;13/02/2020;MANHÃ;COMERCIAL-002; 86,40 € ;NÃO;FRANÇA;PARIS;SIM
COD-144;EXCEL;15;CLIENTE-008; 900,00 € ;PROFESSOR-004; 180,00 € ;13/11/2021;TARDE;COMERCIAL-004; 108,00 € ;SIM;ESPANHA;MADRI;SIM
COD-145;WORD;25;CLIENTE-003; 1.500,00 € ;PROFESSOR-005; 300,00 € ;17/04/2021;MANHÃ;COMERCIAL-001; 180,00 € ;NÃO;ITÁLIA;MILÃO;SIM
COD-146;WORD;15;CLIENTE-005; 600,00 € ;PROFESSOR-002; 180,00 € ;03/07/2021;MANHÃ;COMERCIAL-003; 60,00 € ;NÃO;FRANÇA;PARIS;SIM
COD-147;WORD;10;CLIENTE-006; 400,00 € ;PROFESSOR-001; 120,00 € ;02/10/2021;MANHÃ;COMERCIAL-002; 40,00 € ;SIM;FRANÇA;PARIS;SIM
COD-148;WORD;12;CLIENTE-004; 480,00 € ;PROFESSOR-004; 144,00 € ;26/08/2020;MANHÃ;COMERCIAL-004; 48,00 € ;NÃO;ESPANHA;MADRI;SIM
COD-149;EXCEL;15;CLIENTE-007; 600,00 € ;PROFESSOR-005; 180,00 € ;17/08/2019;TARDE;COMERCIAL-001; 60,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-150;ACCESS;25;CLIENTE-007; 750,00 € ;PROFESSOR-002; 300,00 € ;08/09/2021;TARDE;COMERCIAL-002; 60,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-151;WORD;15;CLIENTE-006; 450,00 € ;PROFESSOR-001; 180,00 € ;14/01/2021;TARDE;COMERCIAL-004; 36,00 € ;SIM;FRANÇA;PARIS;SIM
COD-152;WORD;20;CLIENTE-005; 600,00 € ;PROFESSOR-004; 240,00 € ;12/08/2021;TARDE;COMERCIAL-001; 48,00 € ;SIM;FRANÇA;PARIS;SIM
COD-153;WORD;20;CLIENTE-008; 500,00 € ;PROFESSOR-003; 240,00 € ;26/07/2019;NOITE;COMERCIAL-003; 35,00 € ;SIM;ESPANHA;MADRI;NÃO
COD-154;EXCEL;30;CLIENTE-008; 750,00 € ;PROFESSOR-002; 360,00 € ;04/06/2021;NOITE;COMERCIAL-002; 52,50 € ;SIM;ESPANHA;MADRI;SIM
COD-155;EXCEL;35;CLIENTE-007; 875,00 € ;PROFESSOR-001; 420,00 € ;13/04/2020;NOITE;COMERCIAL-004; 61,25 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-156;EXCEL;40;CLIENTE-005; 1.000,00 € ;PROFESSOR-001; 480,00 € ;07/02/2021;TARDE;COMERCIAL-003; 70,00 € ;SIM;FRANÇA;PARIS;NÃO
COD-157;INTERNET;40;CLIENTE-003; 1.200,00 € ;PROFESSOR-004; 480,00 € ;02/01/2019;TARDE;COMERCIAL-002; 96,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-158;WINDOWS;35;CLIENTE-005; 1.400,00 € ;PROFESSOR-005; 420,00 € ;04/10/2019;TARDE;COMERCIAL-004; 140,00 € ;SIM;FRANÇA;PARIS;SIM
COD-159;WORD;45;CLIENTE-004; 1.125,00 € ;PROFESSOR-002; 540,00 € ;10/12/2019;TARDE;COMERCIAL-001; 78,75 € ;SIM;ESPANHA;VALLADOLID;NÃO
COD-160;WORD;25;CLIENTE-003; 625,00 € ;PROFESSOR-001; 300,00 € ;15/11/2019;NOITE;COMERCIAL-002; 43,75 € ;SIM;ITÁLIA;MILÃO;SIM
COD-161;WORD;20;CLIENTE-005; 500,00 € ;PROFESSOR-004; 240,00 € ;23/03/2019;NOITE;COMERCIAL-004; 35,00 € ;SIM;FRANÇA;PARIS;SIM
COD-162;EXCEL;10;CLIENTE-003; 300,00 € ;PROFESSOR-003; 120,00 € ;15/02/2019;NOITE;COMERCIAL-001; 24,00 € ;NÃO;ITÁLIA;MILÃO;NÃO
COD-163;EXCEL;12;CLIENTE-004; 360,00 € ;PROFESSOR-002; 144,00 € ;09/09/2019;NOITE;COMERCIAL-003; 28,80 € ;NÃO;ESPANHA;VALLADOLID;NÃO
COD-164;EXCEL;15;CLIENTE-003; 450,00 € ;PROFESSOR-001; 180,00 € ;14/05/2020;NOITE;COMERCIAL-002; 36,00 € ;NÃO;ITÁLIA;ROMA;SIM
COD-165;INTERNET;20;CLIENTE-006; 500,00 € ;PROFESSOR-004; 240,00 € ;05/09/2020;TARDE;COMERCIAL-004; 25,00 € ;NÃO;FRANÇA;MARSELHA;SIM
COD-166;WINDOWS;25;CLIENTE-001; 625,00 € ;PROFESSOR-005; 300,00 € ;07/05/2021;MANHÃ;COMERCIAL-001; 31,25 € ;NÃO;ESPANHA;MADRI;NÃO
COD-167;WINDOWS;30;CLIENTE-002; 750,00 € ;PROFESSOR-002; 360,00 € ;20/08/2019;TARDE;COMERCIAL-003; 37,50 € ;NÃO;ITÁLIA;ROMA;NÃO
COD-168;WINDOWS;40;CLIENTE-004; 1.000,00 € ;PROFESSOR-001; 480,00 € ;21/06/2021;MANHÃ;COMERCIAL-002; 50,00 € ;NÃO;ESPANHA;MADRI;SIM
COD-169;INTERNET;35;CLIENTE-003; 875,00 € ;PROFESSOR-004; 420,00 € ;25/09/2019;MANHÃ;COMERCIAL-004; 43,75 € ;NÃO;ITÁLIA;ROMA;SIM
COD-170;PROGRAMAÇÃO;45;CLIENTE-005; 3.375,00 € ;PROFESSOR-005; 540,00 € ;18/01/2021;MANHÃ;COMERCIAL-001; 506,25 € ;NÃO;FRANÇA;MARSELHA;NÃO
COD-171;DESIGN;18;CLIENTE-003; 1.080,00 € ;PROFESSOR-002; 216,00 € ;19/03/2019;MANHÃ;COMERCIAL-002; 129,60 € ;SIM;ITÁLIA;ROMA;SIM
COD-172;DESIGN;10;CLIENTE-004; 600,00 € ;PROFESSOR-001; 120,00 € ;26/10/2019;TARDE;COMERCIAL-004; 72,00 € ;NÃO;ESPANHA;MADRI;SIM
COD-173;DESIGN;45;CLIENTE-003; 2.700,00 € ;PROFESSOR-003; 540,00 € ;28/05/2019;TARDE;COMERCIAL-001; 324,00 € ;SIM;ITÁLIA;ROMA;NÃO
COD-174;ACCESS;25;CLIENTE-006; 1.000,00 € ;PROFESSOR-002; 300,00 € ;09/07/2019;TARDE;COMERCIAL-003; 100,00 € ;SIM;FRANÇA;MARSELHA;NÃO
COD-175;ACCESS;20;CLIENTE-004; 800,00 € ;PROFESSOR-001; 240,00 € ;05/05/2020;TARDE;COMERCIAL-002; 80,00 € ;SIM;ESPANHA;MADRI;SIM
COD-176;ACCESS;10;CLIENTE-007; 400,00 € ;PROFESSOR-004; 120,00 € ;19/04/2019;NOITE;COMERCIAL-004; 40,00 € ;SIM;ESPANHA;MADRI;SIM
COD-177;ACCESS;12;CLIENTE-005; 480,00 € ;PROFESSOR-005; 144,00 € ;15/03/2020;NOITE;COMERCIAL-003; 48,00 € ;SIM;FRANÇA;MARSELHA;NÃO
COD-178;EXCEL;15;CLIENTE-006; 450,00 € ;PROFESSOR-002; 180,00 € ;12/04/2019;NOITE;COMERCIAL-002; 36,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-179;EXCEL;20;CLIENTE-008; 600,00 € ;PROFESSOR-001; 240,00 € ;13/11/2019;TARDE;COMERCIAL-004; 48,00 € ;SIM;ESPANHA;MADRI;SIM
COD-180;EXCEL;25;CLIENTE-003; 750,00 € ;PROFESSOR-004; 300,00 € ;04/12/2019;TARDE;COMERCIAL-001; 60,00 € ;SIM;ITÁLIA;MILÃO;NÃO
COD-181;WORD;30;CLIENTE-005; 750,00 € ;PROFESSOR-003; 360,00 € ;31/03/2019;TARDE;COMERCIAL-003; 52,50 € ;SIM;FRANÇA;MARSELHA;NÃO
COD-182;WORD;40;CLIENTE-006; 1.000,00 € ;PROFESSOR-002; 480,00 € ;09/11/2021;TARDE;COMERCIAL-002; 70,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-183;EXCEL;35;CLIENTE-004; 1.050,00 € ;PROFESSOR-001; 420,00 € ;13/11/2019;NOITE;COMERCIAL-004; 84,00 € ;SIM;ESPANHA;MADRI;SIM
COD-184;ACCESS;45;CLIENTE-007; 1.800,00 € ;PROFESSOR-004; 540,00 € ;25/09/2020;NOITE;COMERCIAL-001; 180,00 € ;SIM;ESPANHA;VALÊNCIA;NÃO
COD-185;WORD;18;CLIENTE-007; 450,00 € ;PROFESSOR-005; 216,00 € ;25/03/2021;NOITE;COMERCIAL-002; 31,50 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-186;WORD;10;CLIENTE-006; 250,00 € ;PROFESSOR-002; 120,00 € ;12/01/2019;NOITE;COMERCIAL-004; 17,50 € ;NÃO;FRANÇA;MARSELHA;SIM
COD-187;WORD;12;CLIENTE-005; 300,00 € ;PROFESSOR-001; 144,00 € ;21/09/2021;NOITE;COMERCIAL-001; 21,00 € ;NÃO;FRANÇA;MARSELHA;SIM
COD-188;EXCEL;15;CLIENTE-008; 450,00 € ;PROFESSOR-004; 180,00 € ;08/01/2019;TARDE;COMERCIAL-003; 36,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-189;EXCEL;25;CLIENTE-008; 750,00 € ;PROFESSOR-005; 300,00 € ;07/04/2021;NOITE;COMERCIAL-002; 60,00 € ;SIM;ESPANHA;MADRI;SIM
COD-190;EXCEL;15;CLIENTE-007; 450,00 € ;PROFESSOR-002; 180,00 € ;13/03/2019;NOITE;COMERCIAL-004; 36,00 € ;SIM;ESPANHA;MADRI;SIM
COD-191;INTERNET;10;CLIENTE-005; 250,00 € ;PROFESSOR-001; 120,00 € ;24/04/2019;NOITE;COMERCIAL-003; 12,50 € ;SIM;FRANÇA;MARSELHA;SIM
COD-192;WINDOWS;12;CLIENTE-003; 300,00 € ;PROFESSOR-004; 144,00 € ;16/05/2019;TARDE;COMERCIAL-002; 15,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-193;WINDOWS;15;CLIENTE-005; 375,00 € ;PROFESSOR-003; 180,00 € ;05/12/2020;TARDE;COMERCIAL-004; 18,75 € ;SIM;FRANÇA;MARSELHA;SIM
COD-194;WINDOWS;25;CLIENTE-004; 625,00 € ;PROFESSOR-002; 300,00 € ;01/11/2019;TARDE;COMERCIAL-001; 31,25 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-195;INTERNET;15;CLIENTE-003; 375,00 € ;PROFESSOR-001; 180,00 € ;24/10/2021;TARDE;COMERCIAL-002; 18,75 € ;SIM;ITÁLIA;MILÃO;SIM
COD-196;PROGRAMAÇÃO;20;CLIENTE-005; 1.500,00 € ;PROFESSOR-001; 240,00 € ;26/06/2021;NOITE;COMERCIAL-004; 225,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-197;DESIGN;20;CLIENTE-003; 1.200,00 € ;PROFESSOR-004; 240,00 € ;02/06/2019;NOITE;COMERCIAL-001; 144,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-198;DESIGN;30;CLIENTE-004; 1.800,00 € ;PROFESSOR-005; 360,00 € ;30/12/2020;NOITE;COMERCIAL-003; 216,00 € ;SIM;ESPANHA;VALLADOLID;NÃO
COD-199;DESIGN;35;CLIENTE-003; 2.100,00 € ;PROFESSOR-002; 420,00 € ;14/02/2021;NOITE;COMERCIAL-002; 252,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-200;ACCESS;40;CLIENTE-006; 1.600,00 € ;PROFESSOR-001; 480,00 € ;29/10/2019;NOITE;COMERCIAL-004; 160,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-201;ACCESS;40;CLIENTE-004; 1.600,00 € ;PROFESSOR-004; 480,00 € ;30/07/2021;TARDE;COMERCIAL-003; 160,00 € ;SIM;ESPANHA;VALLADOLID;NÃO
COD-202;ACCESS;35;CLIENTE-007; 1.400,00 € ;PROFESSOR-003; 420,00 € ;29/04/2020;MANHÃ;COMERCIAL-002; 140,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-203;ACCESS;10;CLIENTE-005; 400,00 € ;PROFESSOR-002; 120,00 € ;03/12/2021;TARDE;COMERCIAL-004; 40,00 € ;NÃO;FRANÇA;PARIS;SIM
COD-204;EXCEL;12;CLIENTE-006; 360,00 € ;PROFESSOR-001; 144,00 € ;07/08/2020;MANHÃ;COMERCIAL-001; 28,80 € ;SIM;FRANÇA;PARIS;NÃO
COD-205;EXCEL;15;CLIENTE-008; 450,00 € ;PROFESSOR-004; 180,00 € ;09/01/2021;MANHÃ;COMERCIAL-003; 36,00 € ;SIM;ESPANHA;VALLADOLID;NÃO
COD-206;EXCEL;25;CLIENTE-003; 750,00 € ;PROFESSOR-005; 300,00 € ;09/08/2019;MANHÃ;COMERCIAL-002; 60,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-207;WORD;15;CLIENTE-005; 375,00 € ;PROFESSOR-002; 180,00 € ;15/05/2019;MANHÃ;COMERCIAL-004; 26,25 € ;SIM;FRANÇA;PARIS;SIM
COD-208;WORD;10;CLIENTE-006; 250,00 € ;PROFESSOR-001; 120,00 € ;29/08/2021;TARDE;COMERCIAL-001; 17,50 € ;NÃO;FRANÇA;PARIS;NÃO
COD-209;WORD;12;CLIENTE-004; 300,00 € ;PROFESSOR-004; 144,00 € ;09/08/2020;TARDE;COMERCIAL-002; 21,00 € ;NÃO;ESPANHA;VALLADOLID;SIM
COD-210;WORD;15;CLIENTE-007; 375,00 € ;PROFESSOR-005; 180,00 € ;17/03/2021;TARDE;COMERCIAL-004; 26,25 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-211;EXCEL;25;CLIENTE-007; 750,00 € ;PROFESSOR-002; 300,00 € ;09/11/2020;TARDE;COMERCIAL-001; 60,00 € ;SIM;ESPANHA;VALLADOLID;NÃO
COD-212;ACCESS;15;CLIENTE-006; 600,00 € ;PROFESSOR-001; 180,00 € ;26/08/2019;NOITE;COMERCIAL-003; 60,00 € ;NÃO;FRANÇA;PARIS;NÃO
COD-213;WORD;20;CLIENTE-005; 500,00 € ;PROFESSOR-004; 240,00 € ;01/02/2020;NOITE;COMERCIAL-003; 35,00 € ;SIM;FRANÇA;PARIS;NÃO
COD-214;WORD;20;CLIENTE-008; 500,00 € ;PROFESSOR-005; 240,00 € ;09/10/2019;NOITE;COMERCIAL-002; 35,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-215;WORD;30;CLIENTE-001; 750,00 € ;PROFESSOR-002; 360,00 € ;01/09/2019;TARDE;COMERCIAL-004; 52,50 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-216;EXCEL;35;CLIENTE-002; 1.050,00 € ;PROFESSOR-001; 420,00 € ;28/08/2021;TARDE;COMERCIAL-001; 84,00 € ;SIM;ITÁLIA;MILÃO;NÃO
COD-217;EXCEL;40;CLIENTE-004; 1.200,00 € ;PROFESSOR-004; 480,00 € ;20/03/2019;TARDE;COMERCIAL-002; 96,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-218;EXCEL;40;CLIENTE-003; 1.200,00 € ;PROFESSOR-003; 480,00 € ;22/02/2020;TARDE;COMERCIAL-004; 96,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-219;INTERNET;35;CLIENTE-005; 875,00 € ;PROFESSOR-002; 420,00 € ;01/06/2021;NOITE;COMERCIAL-001; 43,75 € ;SIM;FRANÇA;PARIS;NÃO
COD-220;WINDOWS;45;CLIENTE-003; 1.125,00 € ;PROFESSOR-001; 540,00 € ;28/06/2020;MANHÃ;COMERCIAL-003; 56,25 € ;SIM;ITÁLIA;MILÃO;NÃO
COD-221;WINDOWS;25;CLIENTE-004; 625,00 € ;PROFESSOR-004; 300,00 € ;02/08/2020;MANHÃ;COMERCIAL-002; 31,25 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-222;WINDOWS;20;CLIENTE-003; 500,00 € ;PROFESSOR-005; 240,00 € ;06/08/2021;MANHÃ;COMERCIAL-004; 25,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-223;INTERNET;10;CLIENTE-006; 250,00 € ;PROFESSOR-002; 120,00 € ;14/12/2019;MANHÃ;COMERCIAL-003; 12,50 € ;SIM;FRANÇA;PARIS;NÃO
COD-224;PROGRAMAÇÃO;12;CLIENTE-004; 900,00 € ;PROFESSOR-001; 144,00 € ;14/05/2021;TARDE;COMERCIAL-002; 135,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-225;DESIGN;15;CLIENTE-007; 900,00 € ;PROFESSOR-004; 180,00 € ;30/01/2021;TARDE;COMERCIAL-004; 108,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-226;DESIGN;20;CLIENTE-005; 1.200,00 € ;PROFESSOR-005; 240,00 € ;14/06/2019;TARDE;COMERCIAL-001; 144,00 € ;SIM;FRANÇA;PARIS;NÃO
COD-227;DESIGN;25;CLIENTE-006; 1.500,00 € ;PROFESSOR-002; 300,00 € ;25/04/2019;TARDE;COMERCIAL-003; 180,00 € ;SIM;FRANÇA;PARIS;SIM
COD-228;EXCEL;30;CLIENTE-008; 1.200,00 € ;PROFESSOR-001; 360,00 € ;18/05/2019;NOITE;COMERCIAL-002; 120,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-229;INTERNET;40;CLIENTE-003; 1.600,00 € ;PROFESSOR-004; 480,00 € ;18/06/2019;NOITE;COMERCIAL-004; 160,00 € ;NÃO;ITÁLIA;MILÃO;SIM
COD-230;WINDOWS;35;CLIENTE-005; 1.400,00 € ;PROFESSOR-003; 420,00 € ;17/02/2019;NOITE;COMERCIAL-001; 140,00 € ;NÃO;FRANÇA;PARIS;SIM
COD-231;WINDOWS;45;CLIENTE-006; 1.800,00 € ;PROFESSOR-002; 540,00 € ;16/10/2019;TARDE;COMERCIAL-002; 180,00 € ;NÃO;FRANÇA;PARIS;SIM
COD-232;WINDOWS;18;CLIENTE-004; 540,00 € ;PROFESSOR-001; 216,00 € ;06/01/2019;TARDE;COMERCIAL-004; 43,20 € ;NÃO;ESPANHA;VALÊNCIA;SIM
COD-233;INTERNET;10;CLIENTE-007; 300,00 € ;PROFESSOR-001; 120,00 € ;20/09/2020;TARDE;COMERCIAL-001; 24,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-234;PROGRAMAÇÃO;45;CLIENTE-007; 1.350,00 € ;PROFESSOR-004; 540,00 € ;30/08/2019;TARDE;COMERCIAL-003; 108,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-235;DESIGN;25;CLIENTE-006; 625,00 € ;PROFESSOR-005; 300,00 € ;10/03/2019;NOITE;COMERCIAL-002; 43,75 € ;SIM;FRANÇA;PARIS;SIM
COD-236;DESIGN;20;CLIENTE-005; 500,00 € ;PROFESSOR-002; 240,00 € ;08/05/2020;NOITE;COMERCIAL-004; 35,00 € ;SIM;FRANÇA;PARIS;SIM
COD-237;DESIGN;10;CLIENTE-008; 250,00 € ;PROFESSOR-001; 120,00 € ;28/08/2019;NOITE;COMERCIAL-003; 17,50 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-238;ACCESS;12;CLIENTE-008; 300,00 € ;PROFESSOR-004; 144,00 € ;06/04/2019;NOITE;COMERCIAL-002; 15,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-239;ACCESS;15;CLIENTE-007; 1.125,00 € ;PROFESSOR-003; 180,00 € ;23/12/2020;NOITE;COMERCIAL-004; 168,75 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-240;ACCESS;20;CLIENTE-005; 1.200,00 € ;PROFESSOR-002; 240,00 € ;08/12/2020;TARDE;COMERCIAL-001; 144,00 € ;NÃO;FRANÇA;PARIS;NÃO
COD-241;ACCESS;25;CLIENTE-003; 1.500,00 € ;PROFESSOR-001; 300,00 € ;07/08/2021;MANHÃ;COMERCIAL-003; 180,00 € ;NÃO;ITÁLIA;MILÃO;SIM
COD-242;EXCEL;30;CLIENTE-005; 1.800,00 € ;PROFESSOR-004; 360,00 € ;09/03/2019;TARDE;COMERCIAL-002; 216,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-243;EXCEL;40;CLIENTE-004; 1.600,00 € ;PROFESSOR-005; 480,00 € ;29/09/2021;MANHÃ;COMERCIAL-004; 160,00 € ;NÃO;ESPANHA;VALLADOLID;SIM
COD-244;EXCEL;35;CLIENTE-003; 1.400,00 € ;PROFESSOR-002; 420,00 € ;04/05/2020;MANHÃ;COMERCIAL-001; 140,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-245;WORD;45;CLIENTE-005; 1.800,00 € ;PROFESSOR-001; 540,00 € ;31/12/2020;MANHÃ;COMERCIAL-002; 180,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-246;WORD;18;CLIENTE-003; 720,00 € ;PROFESSOR-004; 216,00 € ;25/02/2020;MANHÃ;COMERCIAL-004; 72,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-247;ACCESS;10;CLIENTE-004; 300,00 € ;PROFESSOR-005; 120,00 € ;31/07/2021;TARDE;COMERCIAL-001; 24,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-248;ACCESS;12;CLIENTE-003; 360,00 € ;PROFESSOR-002; 144,00 € ;30/05/2020;TARDE;COMERCIAL-003; 28,80 € ;SIM;ITÁLIA;MILÃO;SIM
COD-249;EXCEL;15;CLIENTE-006; 450,00 € ;PROFESSOR-001; 180,00 € ;13/01/2021;TARDE;COMERCIAL-002; 36,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-250;EXCEL;25;CLIENTE-001; 625,00 € ;PROFESSOR-003; 300,00 € ;12/12/2019;TARDE;COMERCIAL-004; 43,75 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-251;EXCEL;15;CLIENTE-002; 375,00 € ;PROFESSOR-002; 180,00 € ;26/12/2019;NOITE;COMERCIAL-003; 26,25 € ;SIM;ITÁLIA;MILÃO;SIM
COD-252;WORD;10;CLIENTE-004; 250,00 € ;PROFESSOR-001; 120,00 € ;16/03/2021;NOITE;COMERCIAL-002; 17,50 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-253;WORD;12;CLIENTE-003; 300,00 € ;PROFESSOR-004; 144,00 € ;29/06/2021;NOITE;COMERCIAL-004; 21,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-254;WORD;15;CLIENTE-005; 450,00 € ;PROFESSOR-005; 180,00 € ;12/11/2019;TARDE;COMERCIAL-001; 36,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-255;INTERNET;25;CLIENTE-003; 1.000,00 € ;PROFESSOR-002; 300,00 € ;22/09/2021;TARDE;COMERCIAL-002; 100,00 € ;SIM;ITÁLIA;MILÃO;SIM
COD-256;PROGRAMAÇÃO;15;CLIENTE-004; 375,00 € ;PROFESSOR-001; 180,00 € ;07/07/2021;TARDE;COMERCIAL-004; 26,25 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-257;DESIGN;20;CLIENTE-003; 500,00 € ;PROFESSOR-004; 240,00 € ;30/08/2020;TARDE;COMERCIAL-001; 35,00 € ;NÃO;ITÁLIA;MILÃO;SIM
COD-258;DESIGN;20;CLIENTE-006; 500,00 € ;PROFESSOR-003; 240,00 € ;07/05/2021;NOITE;COMERCIAL-003; 35,00 € ;NÃO;FRANÇA;MARSELHA;SIM
COD-259;DESIGN;30;CLIENTE-004; 900,00 € ;PROFESSOR-002; 360,00 € ;19/10/2021;NOITE;COMERCIAL-002; 72,00 € ;NÃO;ESPANHA;VALLADOLID;SIM
COD-260;ACCESS;35;CLIENTE-007; 1.050,00 € ;PROFESSOR-001; 420,00 € ;27/06/2021;NOITE;COMERCIAL-004; 84,00 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-261;ACCESS;40;CLIENTE-005; 1.200,00 € ;PROFESSOR-004; 480,00 € ;20/01/2019;NOITE;COMERCIAL-003; 96,00 € ;NÃO;FRANÇA;MARSELHA;NÃO
COD-262;ACCESS;18;CLIENTE-006; 450,00 € ;PROFESSOR-005; 216,00 € ;21/02/2020;NOITE;COMERCIAL-002; 22,50 € ;NÃO;FRANÇA;MARSELHA;SIM
COD-263;ACCESS;10;CLIENTE-008; 250,00 € ;PROFESSOR-002; 120,00 € ;02/03/2020;TARDE;COMERCIAL-004; 12,50 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-264;EXCEL;45;CLIENTE-003; 1.125,00 € ;PROFESSOR-001; 540,00 € ;26/09/2019;NOITE;COMERCIAL-001; 56,25 € ;NÃO;ITÁLIA;MILÃO;SIM
COD-265;EXCEL;25;CLIENTE-005; 625,00 € ;PROFESSOR-004; 300,00 € ;19/12/2019;NOITE;COMERCIAL-003; 31,25 € ;NÃO;FRANÇA;MARSELHA;SIM
COD-266;EXCEL;20;CLIENTE-006; 500,00 € ;PROFESSOR-003; 240,00 € ;24/12/2021;NOITE;COMERCIAL-002; 25,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-267;WORD;10;CLIENTE-004; 750,00 € ;PROFESSOR-002; 120,00 € ;03/07/2021;TARDE;COMERCIAL-004; 112,50 € ;NÃO;ESPANHA;VALLADOLID;SIM
COD-268;WORD;12;CLIENTE-007; 720,00 € ;PROFESSOR-001; 144,00 € ;15/06/2020;TARDE;COMERCIAL-001; 86,40 € ;SIM;ESPANHA;VALLADOLID;SIM
COD-269;WORD;15;CLIENTE-007; 900,00 € ;PROFESSOR-004; 180,00 € ;03/07/2019;TARDE;COMERCIAL-002; 108,00 € ;SIM;ESPANHA;VALÊNCIA;SIM
COD-270;WORD;20;CLIENTE-006; 500,00 € ;PROFESSOR-005; 240,00 € ;16/05/2020;TARDE;COMERCIAL-004; 35,00 € ;SIM;FRANÇA;MARSELHA;SIM
COD-271;EXCEL;25;CLIENTE-005; 750,00 € ;PROFESSOR-002; 300,00 € ;12/04/2020;NOITE;COMERCIAL-001; 60,00 € ;SIM;FRANÇA;MARSELHA;SIM
